run,time,filter_size,type,exec_type,threads
0,3.793324,256,DFUF,parallel,8
0,3.796597,256,FFUF,parallel,8
0,3.759991,256,DFUD,parallel,8
0,4.135723,256,FFUD,parallel,8
1,3.990714,256,DFUF,parallel,8
1,4.216677,256,FFUF,parallel,8
1,4.043193,256,DFUD,parallel,8
1,4.407701,256,FFUD,parallel,8
2,4.013254,256,DFUF,parallel,8
2,4.083813,256,FFUF,parallel,8
2,3.877901,256,DFUD,parallel,8
2,4.093551,256,FFUD,parallel,8
3,4.135362,256,DFUF,parallel,8
3,4.184944,256,FFUF,parallel,8
3,3.987535,256,DFUD,parallel,8
3,4.103656,256,FFUD,parallel,8
4,4.579096,256,DFUF,parallel,8
4,4.464211,256,FFUF,parallel,8
4,3.998416,256,DFUD,parallel,8
4,4.736386,256,FFUD,parallel,8
5,4.515191,256,DFUF,parallel,8
5,4.795560,256,FFUF,parallel,8
5,4.944441,256,DFUD,parallel,8
5,4.640392,256,FFUD,parallel,8
6,4.113940,256,DFUF,parallel,8
6,4.156282,256,FFUF,parallel,8
6,4.121946,256,DFUD,parallel,8
6,4.320757,256,FFUD,parallel,8
7,4.133169,256,DFUF,parallel,8
7,4.205439,256,FFUF,parallel,8
7,4.194555,256,DFUD,parallel,8
7,4.637195,256,FFUD,parallel,8
8,4.160007,256,DFUF,parallel,8
8,4.460741,256,FFUF,parallel,8
8,4.100341,256,DFUD,parallel,8
8,4.465778,256,FFUD,parallel,8
9,4.086595,256,DFUF,parallel,8
9,4.216212,256,FFUF,parallel,8
9,3.948320,256,DFUD,parallel,8
9,4.382519,256,FFUD,parallel,8
10,4.135871,256,DFUF,parallel,8
10,4.209409,256,FFUF,parallel,8
10,4.079555,256,DFUD,parallel,8
10,4.365484,256,FFUD,parallel,8
11,4.227394,256,DFUF,parallel,8
11,4.370380,256,FFUF,parallel,8
11,4.026824,256,DFUD,parallel,8
11,4.408981,256,FFUD,parallel,8
12,4.280639,256,DFUF,parallel,8
12,4.191171,256,FFUF,parallel,8
12,3.968226,256,DFUD,parallel,8
12,4.376043,256,FFUD,parallel,8
13,4.151222,256,DFUF,parallel,8
13,4.237429,256,FFUF,parallel,8
13,4.328308,256,DFUD,parallel,8
13,4.312618,256,FFUD,parallel,8
14,4.094922,256,DFUF,parallel,8
14,4.447597,256,FFUF,parallel,8
14,4.115362,256,DFUD,parallel,8
14,4.351518,256,FFUD,parallel,8
15,4.135447,256,DFUF,parallel,8
15,4.349868,256,FFUF,parallel,8
15,4.013717,256,DFUD,parallel,8
15,4.467698,256,FFUD,parallel,8
16,4.059765,256,DFUF,parallel,8
16,4.302527,256,FFUF,parallel,8
16,4.151117,256,DFUD,parallel,8
16,4.577494,256,FFUD,parallel,8
17,4.249586,256,DFUF,parallel,8
17,4.328181,256,FFUF,parallel,8
17,4.211316,256,DFUD,parallel,8
17,5.035195,256,FFUD,parallel,8
18,4.571784,256,DFUF,parallel,8
18,4.255665,256,FFUF,parallel,8
18,4.508036,256,DFUD,parallel,8
18,4.923183,256,FFUD,parallel,8
19,4.281071,256,DFUF,parallel,8
19,4.522037,256,FFUF,parallel,8
19,4.303645,256,DFUD,parallel,8
19,4.575523,256,FFUD,parallel,8
